Year,Month,Day,Closing_price
1993,4,22,200.49
1993,4,21,199.05
1993,4,20,195.01
1993,4,19,193.8
1993,4,16,192.64
1993,4,15,193.11
1993,4,14,192.92
1993,4,13,192.62
1993,4,8,192.06
1993,4,7,191.54
1993,4,6,193.13
1993,4,5,193.57
1993,4,2,194.63
1993,4,1,192.54
1993,3,31,191.72
1993,3,30,191.15
1993,3,29,192.7
1993,3,26,191.87
1993,3,25,189.99
1993,3,24,188.97
1993,3,23,189.27
1993,3,22,188.81
1993,3,19,193.93
1993,3,18,194.96
1993,3,17,195.34
1993,3,16,196.21
1993,3,15,192.6
1993,3,12,195.15
1993,3,11,197.78
1993,3,10,197.96
1993,3,9,198.99
1993,3,8,200.51
1993,3,5,199.4
1993,3,4,196.68
1993,3,3,196.9
1993,3,2,196.15
1993,3,1,197.88
1993,2,26,194
1993,2,25,191.37
1993,2,24,188.99
1993,2,23,190.84
1993,2,22,192.44
1993,2,19,192.17
1993,2,18,190.96
1993,2,17,188.38
1993,2,16,190.63
1993,2,15,190.81
1993,2,12,190.6
